state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
himachal pradesh,kangra,palampur,colacasia,colacasia,faq,2023-07-27,4000.0,4500.0,4250.0
himachal pradesh,kangra,palampur,coriander(leaves),coriander,faq,2023-07-27,14000.0,15000.0,14500.0
himachal pradesh,kangra,palampur,cucumbar(kheera),other,faq,2023-07-27,3000.0,4000.0,3500.0
himachal pradesh,kangra,palampur,french beans (frasbean),other,faq,2023-07-27,6000.0,7000.0,6500.0
himachal pradesh,kangra,palampur,garlic,average,faq,2023-07-27,10000.0,13000.0,11500.0
himachal pradesh,kangra,palampur,ginger(green),other,faq,2023-07-27,19000.0,20000.0,19500.0
himachal pradesh,kangra,palampur,green chilli,green chilly,faq,2023-07-27,5500.0,6000.0,5750.0
himachal pradesh,kangra,palampur,guava,other,medium,2023-07-27,8000.0,11500.0,9750.0
himachal pradesh,kangra,palampur,jack fruit,jack fruit,medium,2023-07-27,3500.0,4000.0,3750.0
himachal pradesh,kangra,palampur,lemon,other,faq,2023-07-27,4500.0,4800.0,4650.0
himachal pradesh,kangra,palampur,mango,dusheri,medium,2023-07-27,3000.0,4500.0,3750.0
himachal pradesh,kangra,palampur,mango,totapuri,medium,2023-07-27,5000.0,6000.0,5500.0
himachal pradesh,kangra,palampur,mashrooms,other,faq,2023-07-27,3000.0,3500.0,3250.0
himachal pradesh,kangra,palampur,mousambi(sweet lime),other,medium,2023-07-27,4500.0,5000.0,4750.0
himachal pradesh,kangra,palampur,onion,other,faq,2023-07-27,2000.0,2200.0,2100.0
himachal pradesh,kangra,palampur,papaya,other,medium,2023-07-27,4200.0,4500.0,4350.0
himachal pradesh,kangra,palampur,pear(marasebu),other,medium,2023-07-27,9000.0,10000.0,9500.0
himachal pradesh,kangra,palampur,peas wet,other,faq,2023-07-27,7000.0,8000.0,7500.0
himachal pradesh,kangra,palampur,pineapple,other,medium,2023-07-27,4500.0,5000.0,4750.0
himachal pradesh,kangra,palampur,plum,other,medium,2023-07-27,5000.0,6000.0,5500.0
himachal pradesh,kangra,palampur,potato,other,faq,2023-07-27,1700.0,2100.0,1900.0
himachal pradesh,kangra,palampur,pumpkin,other,faq,2023-07-27,1500.0,2500.0,2000.0
himachal pradesh,kangra,palampur,raddish,raddish,faq,2023-07-27,2200.0,2500.0,2350.0
himachal pradesh,kangra,palampur,spinach,spinach,faq,2023-07-27,4500.0,5000.0,4750.0
himachal pradesh,kangra,palampur,sponge gourd,other,faq,2023-07-27,3000.0,3500.0,3250.0
himachal pradesh,kangra,palampur,tinda,tinda,faq,2023-07-27,4500.0,5000.0,4750.0
kerala,alappuzha,harippad,amaranthus,other,faq,2023-07-27,4000.0,4500.0,4000.0
kerala,alappuzha,harippad,amphophalus,other,faq,2023-07-27,5000.0,5500.0,5000.0
kerala,alappuzha,harippad,ashgourd,other,faq,2023-07-27,3000.0,3500.0,3000.0
kerala,alappuzha,harippad,banana,nendra bale,medium,2023-07-27,5000.0,5500.0,5000.0
kerala,alappuzha,harippad,banana - green,other,faq,2023-07-27,3000.0,3500.0,3000.0
kerala,alappuzha,harippad,beetroot,other,faq,2023-07-27,4000.0,4500.0,4000.0
kerala,alappuzha,harippad,bhindi(ladies finger),other,faq,2023-07-27,4000.0,4500.0,4000.0
kerala,alappuzha,harippad,bitter gourd,other,faq,2023-07-27,5000.0,5500.0,5000.0
kerala,alappuzha,harippad,bottle gourd,other,faq,2023-07-27,2000.0,2500.0,2000.0
kerala,alappuzha,harippad,brinjal,other,faq,2023-07-27,3000.0,3500.0,3000.0
kerala,alappuzha,harippad,cabbage,other,faq,2023-07-27,3000.0,3500.0,3000.0
kerala,alappuzha,harippad,capsicum,other,faq,2023-07-27,9000.0,9500.0,9000.0
kerala,alappuzha,harippad,carrot,other,faq,2023-07-27,6000.0,6500.0,6000.0
kerala,alappuzha,harippad,cauliflower,other,faq,2023-07-27,4000.0,4500.0,4000.0
kerala,alappuzha,harippad,colacasia,other,faq,2023-07-27,6000.0,6400.0,6000.0
kerala,alappuzha,harippad,cowpea(veg),other,faq,2023-07-27,4000.0,4500.0,4000.0
kerala,alappuzha,harippad,cucumbar(kheera),other,faq,2023-07-27,2000.0,2500.0,2000.0
kerala,alappuzha,harippad,drumstick,other,faq,2023-07-27,5000.0,5500.0,5000.0
nagaland,kohima,jalukie,bitter gourd,bitter gourd,faq,2023-07-27,8100.0,8300.0,8200.0
nagaland,kohima,jalukie,bottle gourd,bottle gourd,faq,2023-07-27,5400.0,5600.0,5500.0
nagaland,kohima,jalukie,brinjal,other,faq,2023-07-27,8600.0,8800.0,8700.0
nagaland,kohima,jalukie,cabbage,cabbage,faq,2023-07-27,7000.0,7200.0,7100.0
nagaland,kohima,jalukie,ginger(green),green ginger,faq,2023-07-27,6400.0,6600.0,6500.0
nagaland,kohima,jalukie,green chilli,green chilly,faq,2023-07-27,20400.0,20600.0,20500.0
nagaland,kohima,jalukie,leafy vegetable,leafy vegetables,faq,2023-07-27,9000.0,9300.0,9200.0
nagaland,kohima,jalukie,onion,1st sort,faq,2023-07-27,11100.0,11300.0,11200.0
nagaland,kohima,jalukie,potato,other,faq,2023-07-27,11200.0,11400.0,11300.0
nagaland,kohima,jalukie,pumpkin,pumpkin,faq,2023-07-27,4400.0,4600.0,4500.0
nagaland,kohima,jalukie,tomato,tomato,faq,2023-07-27,13000.0,13200.0,13100.0
odisha,dhenkanal,hindol,banana - green,other,faq,2023-07-27,2000.0,2500.0,2200.0
odisha,dhenkanal,hindol,bhindi(ladies finger),bhindi,faq,2023-07-27,4000.0,4500.0,4200.0
odisha,dhenkanal,hindol,bitter gourd,bitter gourd,faq,2023-07-27,4400.0,4600.0,4500.0
odisha,dhenkanal,hindol,brinjal,brinjal,faq,2023-07-27,4000.0,5000.0,4500.0
odisha,dhenkanal,hindol,cucumbar(kheera),cucumbar,faq,2023-07-27,3500.0,4000.0,3800.0
odisha,dhenkanal,hindol,drumstick,drumstick,faq,2023-07-27,4500.0,5000.0,4800.0
odisha,dhenkanal,hindol,onion,other,faq,2023-07-27,2000.0,2500.0,2200.0
odisha,dhenkanal,hindol,pointed gourd (parval),other,faq,2023-07-27,4000.0,4500.0,4200.0
odisha,dhenkanal,hindol,potato,potato,faq,2023-07-27,1800.0,2000.0,1900.0
odisha,dhenkanal,hindol,pumpkin,pumpkin,faq,2023-07-27,1200.0,1400.0,1300.0
odisha,dhenkanal,hindol,ridgeguard(tori),other,faq,2023-07-27,3000.0,3500.0,3200.0
odisha,dhenkanal,hindol,snakeguard,other,faq,2023-07-27,2500.0,3000.0,2800.0
odisha,dhenkanal,hindol,tomato,tomato,faq,2023-07-27,11000.0,12000.0,11500.0
punjab,amritsar,mehta,bhindi(ladies finger),bhindi,faq,2023-07-27,1500.0,1500.0,1500.0
punjab,amritsar,mehta,bitter gourd,bitter gourd,faq,2023-07-27,1800.0,1800.0,1800.0
punjab,amritsar,mehta,bottle gourd,bottle gourd,faq,2023-07-27,2500.0,2500.0,2500.0
punjab,amritsar,mehta,brinjal,arkasheela mattigulla,faq,2023-07-27,3200.0,3200.0,3200.0
punjab,amritsar,mehta,carrot,carrot,faq,2023-07-27,2300.0,2300.0,2300.0
punjab,amritsar,mehta,ridgeguard(tori),other,faq,2023-07-27,3000.0,3000.0,3000.0
punjab,amritsar,rayya,bhindi(ladies finger),bhindi,faq,2023-07-27,3500.0,3500.0,3500.0
punjab,amritsar,rayya,brinjal,brinjal,faq,2023-07-27,2800.0,2800.0,2800.0
punjab,amritsar,rayya,cauliflower,local,faq,2023-07-27,1800.0,1800.0,1800.0
punjab,amritsar,rayya,green chilli,green chilly,faq,2023-07-27,2900.0,2900.0,2900.0
punjab,amritsar,rayya,onion,red,faq,2023-07-27,2000.0,2000.0,2000.0
punjab,amritsar,rayya,potato,other,faq,2023-07-27,1800.0,1800.0,1800.0
punjab,amritsar,rayya,raddish,other,faq,2023-07-27,1500.0,1500.0,1500.0
punjab,amritsar,rayya,tomato,hybrid,faq,2023-07-27,1500.0,1500.0,1500.0
rajasthan,chittorgarh,kapasan,wheat,lokwan,faq,2023-07-27,2150.0,2350.0,2250.0
rajasthan,rajasamand,rajasamand,onion,onion,faq,2023-07-27,1000.0,1200.0,1100.0
rajasthan,rajasamand,rajasamand,potato,potato,faq,2023-07-27,1000.0,1400.0,1200.0
rajasthan,rajasamand,rajasamand,tomato,tomato,faq,2023-07-27,10000.0,12000.0,11000.0
tripura,north tripura,dasda,bhindi(ladies finger),bhindi,faq,2023-07-27,3000.0,4000.0,3500.0
tripura,north tripura,dasda,brinjal,round/long,faq,2023-07-27,2500.0,3500.0,3000.0
tripura,north tripura,dasda,green chilli,green chilly,faq,2023-07-27,15000.0,20000.0,17500.0
tripura,north tripura,dasda,onion,onion,faq,2023-07-27,2000.0,4000.0,3000.0
tripura,north tripura,dasda,potato,potato,faq,2023-07-27,1800.0,2500.0,2150.0
tripura,north tripura,dasda,rice,masuri,faq,2023-07-27,3200.0,3400.0,3300.0
tripura,north tripura,kanchanpur,bhindi(ladies finger),bhindi,faq,2023-07-27,3000.0,4000.0,3500.0
tripura,north tripura,kanchanpur,bitter gourd,bitter gourd,faq,2023-07-27,4000.0,5000.0,4500.0
tripura,north tripura,kanchanpur,brinjal,round/long,faq,2023-07-27,2000.0,3000.0,2500.0
tripura,north tripura,kanchanpur,cowpea(veg),cowpea (veg),faq,2023-07-27,2000.0,3000.0,2500.0
tripura,north tripura,kanchanpur,green chilli,green chilly,faq,2023-07-27,10000.0,15000.0,12500.0
tripura,north tripura,kanchanpur,masur dal,masur dal,faq,2023-07-27,8000.0,12000.0,10000.0
tripura,north tripura,kanchanpur,onion,nasik,faq,2023-07-27,3000.0,4000.0,3500.0
tripura,north tripura,kanchanpur,potato,potato,faq,2023-07-27,2000.0,3000.0,2500.0
tripura,north tripura,kanchanpur,rice,masuri,faq,2023-07-27,3400.0,5000.0,4200.0
uttar pradesh,baghpat,baraut,apple,kasmir/shimla - ii,medium,2023-07-27,4700.0,4900.0,4800.0
uttar pradesh,baghpat,baraut,banana - green,banana - green,faq,2023-07-27,1000.0,1100.0,1050.0
uttar pradesh,baghpat,baraut,bottle gourd,bottle gourd,faq,2023-07-27,950.0,1050.0,1000.0
uttar pradesh,baghpat,baraut,cucumbar(kheera),cucumbar,faq,2023-07-27,1900.0,2000.0,1950.0
uttar pradesh,baghpat,baraut,green chilli,green chilly,faq,2023-07-27,2300.0,2400.0,2350.0
uttar pradesh,baghpat,baraut,onion,onion,faq,2023-07-27,1100.0,1200.0,1150.0
uttar pradesh,baghpat,baraut,potato,chips,faq,2023-07-27,1300.0,1400.0,1350.0
uttar pradesh,baghpat,baraut,pumpkin,pumpkin,faq,2023-07-27,600.0,700.0,650.0
uttar pradesh,baghpat,baraut,raddish,raddish,faq,2023-07-27,600.0,700.0,650.0
uttar pradesh,baghpat,baraut,sponge gourd,sponge gourd,faq,2023-07-27,1100.0,1200.0,1150.0
uttar pradesh,bulandshahar,gulavati,bhindi(ladies finger),other,faq,2023-07-27,2400.0,2600.0,2500.0
uttar pradesh,bulandshahar,gulavati,bitter gourd,bitter gourd,faq,2023-07-27,2800.0,3000.0,2900.0
uttar pradesh,bulandshahar,gulavati,bottle gourd,bottle gourd,faq,2023-07-27,1000.0,1200.0,1100.0
uttar pradesh,bulandshahar,gulavati,brinjal,other,faq,2023-07-27,700.0,900.0,800.0
uttar pradesh,bulandshahar,gulavati,cauliflower,cauliflower,faq,2023-07-27,1000.0,1200.0,1100.0
uttar pradesh,bulandshahar,gulavati,colacasia,other,faq,2023-07-27,1400.0,1600.0,1500.0
uttar pradesh,bulandshahar,gulavati,cucumbar(kheera),cucumbar,faq,2023-07-27,1300.0,1500.0,1400.0
uttar pradesh,bulandshahar,gulavati,garlic,desi,faq,2023-07-27,3400.0,3600.0,3500.0
uttar pradesh,bulandshahar,gulavati,ginger(green),green ginger,faq,2023-07-27,3000.0,3200.0,3100.0
uttar pradesh,bulandshahar,gulavati,green chilli,green chilly,faq,2023-07-27,1600.0,1800.0,1700.0
uttar pradesh,bulandshahar,gulavati,onion,other,faq,2023-07-27,2000.0,2200.0,2100.0
uttar pradesh,bulandshahar,gulavati,potato,other,faq,2023-07-27,700.0,800.0,750.0
uttar pradesh,bulandshahar,gulavati,pumpkin,other,faq,2023-07-27,750.0,850.0,800.0
uttar pradesh,bulandshahar,gulavati,sponge gourd,other,faq,2023-07-27,1100.0,1300.0,1200.0
uttar pradesh,hathras,shadabad,onion,red,faq,2023-07-27,900.0,1000.0,950.0
uttar pradesh,hathras,shadabad,potato,desi,faq,2023-07-27,750.0,850.0,800.0
uttar pradesh,meerut,sardhana,banana - green,banana - green,faq,2023-07-27,900.0,1000.0,950.0
uttar pradesh,meerut,sardhana,green chilli,green chilly,faq,2023-07-27,1600.0,1700.0,1650.0
uttar pradesh,meerut,sardhana,onion,red,faq,2023-07-27,1000.0,1250.0,1200.0
uttar pradesh,meerut,sardhana,potato,desi,faq,2023-07-27,1100.0,1200.0,1100.0
uttrakhand,dehradoon,vikasnagar,apple,other,medium,2023-07-27,1200.0,2500.0,2500.0
uttrakhand,dehradoon,vikasnagar,banana,other,medium,2023-07-27,1000.0,1500.0,1500.0
uttrakhand,dehradoon,vikasnagar,bhindi(ladies finger),other,faq,2023-07-27,1800.0,3000.0,3000.0
uttrakhand,dehradoon,vikasnagar,bottle gourd,other,faq,2023-07-27,1800.0,3000.0,3000.0
uttrakhand,dehradoon,vikasnagar,brinjal,other,faq,2023-07-27,1800.0,3000.0,3000.0
uttrakhand,dehradoon,vikasnagar,cucumbar(kheera),other,faq,2023-07-27,900.0,2000.0,2000.0
uttrakhand,dehradoon,vikasnagar,green chilli,other,faq,2023-07-27,3500.0,7000.0,7000.0
uttrakhand,dehradoon,vikasnagar,jack fruit,other,medium,2023-07-27,600.0,1800.0,1800.0
uttrakhand,dehradoon,vikasnagar,mango,other,medium,2023-07-27,400.0,1100.0,1100.0
uttrakhand,dehradoon,vikasnagar,onion,other,faq,2023-07-27,700.0,1600.0,1600.0
uttrakhand,dehradoon,vikasnagar,potato,other,faq,2023-07-27,500.0,1300.0,1300.0
uttrakhand,dehradoon,vikasnagar,pumpkin,other,faq,2023-07-27,1200.0,2000.0,2000.0
uttrakhand,dehradoon,vikasnagar,sponge gourd,other,faq,2023-07-27,1200.0,2500.0,2500.0
uttrakhand,dehradoon,vikasnagar,tomato,other,faq,2023-07-27,2000.0,6500.0,4000.0
uttrakhand,haridwar,roorkee,bhindi(ladies finger),other,faq,2023-07-27,800.0,1500.0,1300.0
uttrakhand,haridwar,roorkee,bottle gourd,other,faq,2023-07-27,500.0,700.0,600.0
uttrakhand,haridwar,roorkee,brinjal,other,faq,2023-07-27,500.0,800.0,700.0
uttrakhand,haridwar,roorkee,cucumbar(kheera),other,faq,2023-07-27,800.0,1200.0,1000.0
uttrakhand,haridwar,roorkee,green chilli,other,faq,2023-07-27,2000.0,3000.0,2500.0
uttrakhand,haridwar,roorkee,mango,other,medium,2023-07-27,800.0,1500.0,1300.0
uttrakhand,haridwar,roorkee,mousambi(sweet lime),other,medium,2023-07-27,1500.0,2500.0,2000.0
uttrakhand,haridwar,roorkee,onion,other,faq,2023-07-27,1200.0,1800.0,1400.0
uttrakhand,haridwar,roorkee,papaya,other,medium,2023-07-27,1500.0,2500.0,2000.0
uttrakhand,haridwar,roorkee,pomegranate,other,medium,2023-07-27,3000.0,5000.0,4000.0
uttrakhand,haridwar,roorkee,potato,other,faq,2023-07-27,800.0,1400.0,1200.0
uttrakhand,haridwar,roorkee,pumpkin,other,faq,2023-07-27,400.0,600.0,500.0
uttrakhand,haridwar,roorkee,tomato,other,faq,2023-07-27,2500.0,4000.0,3500.0
andhra pradesh,chittor,palamaner,green chilli,green chilly,faq,2023-07-28,8000.0,10000.0,9000.0
andhra pradesh,cuddapah,cuddapah,groundnut,local,faq,2023-07-28,6269.0,7416.0,7036.0
andhra pradesh,cuddapah,cuddapah,turmeric,bulb,faq,2023-07-28,4888.0,9745.0,8650.0
andhra pradesh,cuddapah,cuddapah,turmeric,finger,faq,2023-07-28,5748.0,10025.0,9665.0
andhra pradesh,east godavari,karapa,paddy(dhan)(common),1001,faq,2023-07-28,2040.0,2060.0,2050.0
andhra pradesh,east godavari,rajahmundry,paddy(dhan)(common),paddy,faq,2023-07-28,2040.0,2040.0,2040.0
andhra pradesh,east godavari,rajahmundry,paddy(dhan)(common),swarna masuri (new),faq,2023-07-28,2060.0,2060.0,2060.0
andhra pradesh,east godavari,sampara,paddy(dhan)(common),swarna masuri (new),faq,2023-07-28,2000.0,2080.0,2040.0
andhra pradesh,guntur,tenali,black gram (urd beans)(whole),black gram (whole),faq,2023-07-28,8100.0,8300.0,8200.0
andhra pradesh,guntur,tenali,lemon,lemon,faq,2023-07-28,1500.0,3500.0,2500.0
andhra pradesh,kurnool,alur,jowar(sorghum),jowar ( white),faq,2023-07-28,3030.0,3090.0,3060.0
andhra pradesh,kurnool,atmakur,maize,hybrid/local,faq,2023-07-28,1962.0,1962.0,1962.0
andhra pradesh,kurnool,atmakur,paddy(dhan)(common),sona mahsuri,faq,2023-07-28,2040.0,2040.0,2040.0
andhra pradesh,kurnool,nandikotkur,bengal gram(gram)(whole),gulabi,faq,2023-07-28,5335.0,5335.0,5335.0
andhra pradesh,kurnool,nandikotkur,maize,hybrid,faq,2023-07-28,1962.0,1962.0,1962.0
andhra pradesh,kurnool,nandikotkur,paddy(dhan)(common),sona,faq,2023-07-28,2040.0,2040.0,2040.0
andhra pradesh,visakhapatnam,anakapally,gur(jaggery),no 2,faq,2023-07-28,3850.0,3850.0,3850.0
andhra pradesh,visakhapatnam,anakapally,gur(jaggery),no 3,faq,2023-07-28,3750.0,3750.0,3750.0
bihar,kishanganj,bahadurganj,apple,american,medium,2023-07-28,9000.0,9500.0,9400.0
bihar,kishanganj,bahadurganj,banana,amruthapani,medium,2023-07-28,2400.0,2600.0,2500.0
bihar,kishanganj,bahadurganj,bhindi(ladies finger),bhindi,faq,2023-07-28,2000.0,2200.0,2100.0
bihar,kishanganj,bahadurganj,brinjal,arkasheela mattigulla,faq,2023-07-28,2800.0,3000.0,2900.0
bihar,kishanganj,bahadurganj,green chilli,green chilly,faq,2023-07-28,4000.0,4500.0,4300.0
bihar,kishanganj,bahadurganj,onion,1st sort,faq,2023-07-28,1800.0,2000.0,1900.0
bihar,kishanganj,bahadurganj,pointed gourd (parval),other,faq,2023-07-28,2200.0,2400.0,2300.0
chandigarh,chandigarh,chandigarh(grain/fruit),apple,other,large,2023-07-28,10000.0,25000.0,20000.0
chandigarh,chandigarh,chandigarh(grain/fruit),bottle gourd,other,faq,2023-07-28,1000.0,2500.0,2200.0
chandigarh,chandigarh,chandigarh(grain/fruit),cauliflower,other,faq,2023-07-28,1000.0,3000.0,2500.0
chandigarh,chandigarh,chandigarh(grain/fruit),cucumbar(kheera),other,faq,2023-07-28,800.0,1500.0,1200.0
chandigarh,chandigarh,chandigarh(grain/fruit),ginger(green),other,faq,2023-07-28,7000.0,12000.0,12000.0
chandigarh,chandigarh,chandigarh(grain/fruit),green chilli,other,faq,2023-07-28,2000.0,4000.0,3500.0
chandigarh,chandigarh,chandigarh(grain/fruit),lemon,other,faq,2023-07-28,1500.0,2500.0,2200.0
chandigarh,chandigarh,chandigarh(grain/fruit),mango,other,medium,2023-07-28,1000.0,4000.0,3000.0
chandigarh,chandigarh,chandigarh(grain/fruit),mousambi(sweet lime),other,medium,2023-07-28,3000.0,4500.0,4000.0
chandigarh,chandigarh,chandigarh(grain/fruit),onion,other,faq,2023-07-28,800.0,1800.0,1500.0
chandigarh,chandigarh,chandigarh(grain/fruit),peas wet,other,faq,2023-07-28,4000.0,8000.0,6000.0
chandigarh,chandigarh,chandigarh(grain/fruit),plum,other,medium,2023-07-28,3000.0,5000.0,4000.0
chandigarh,chandigarh,chandigarh(grain/fruit),pomegranate,other,medium,2023-07-28,8000.0,12000.0,10000.0
chandigarh,chandigarh,chandigarh(grain/fruit),potato,other,faq,2023-07-28,400.0,1400.0,1200.0
chandigarh,chandigarh,chandigarh(grain/fruit),pumpkin,other,faq,2023-07-28,500.0,1000.0,800.0
chattisgarh,balodabazar,kasdol,paddy(dhan)(common),paddy,faq,2023-07-28,1350.0,1360.0,1355.0
chattisgarh,bijapur,bharamgarh,tamarind seed,tamarind seed,faq,2023-07-28,3000.0,3200.0,3100.0
chattisgarh,bijapur,bhopalpattnam,tamarind seed,tamarind seed,faq,2023-07-28,3000.0,3200.0,3100.0
chattisgarh,bijapur,bijapur,tamarind seed,tamarind seed,faq,2023-07-28,3000.0,3200.0,3100.0
chattisgarh,bilaspur,takhatpur,lak(teora),lak (whole),faq,2023-07-28,3200.0,3200.0,3200.0
chattisgarh,bilaspur,tiphra,apple,apple,large,2023-07-28,13000.0,13500.0,13300.0
chattisgarh,bilaspur,tiphra,banana,banana - ripe,large,2023-07-28,3000.0,3300.0,3200.0
chattisgarh,bilaspur,tiphra,beetroot,beetroot,faq,2023-07-28,2000.0,2500.0,2300.0
chattisgarh,bilaspur,tiphra,bhindi(ladies finger),bhindi,faq,2023-07-28,4500.0,4700.0,4600.0
chattisgarh,bilaspur,tiphra,bitter gourd,bitter gourd,faq,2023-07-28,2400.0,2600.0,2500.0
chattisgarh,bilaspur,tiphra,bottle gourd,bottle gourd,faq,2023-07-28,1100.0,1300.0,1200.0
chattisgarh,bilaspur,tiphra,brinjal,brinjal,faq,2023-07-28,2800.0,3000.0,2900.0
chattisgarh,bilaspur,tiphra,cabbage,cabbage,faq,2023-07-28,900.0,1100.0,1000.0
chattisgarh,bilaspur,tiphra,capsicum,capsicum,faq,2023-07-28,5000.0,5200.0,5100.0
chattisgarh,bilaspur,tiphra,cauliflower,cauliflower,faq,2023-07-28,2400.0,2600.0,2500.0
chattisgarh,bilaspur,tiphra,cluster beans,cluster beans,faq,2023-07-28,3500.0,3700.0,3600.0
chattisgarh,bilaspur,tiphra,drumstick,drumstick,faq,2023-07-28,2000.0,2200.0,2100.0
chattisgarh,bilaspur,tiphra,green chilli,green chilly,faq,2023-07-28,4200.0,4500.0,4400.0
chattisgarh,bilaspur,tiphra,lemon,lemon,faq,2023-07-28,2200.0,2400.0,2300.0
chattisgarh,bilaspur,tiphra,mango,other,large,2023-07-28,4200.0,4400.0,4300.0
chattisgarh,bilaspur,tiphra,onion,other,faq,2023-07-28,1100.0,1300.0,1200.0
chattisgarh,bilaspur,tiphra,orange,orange,large,2023-07-28,3300.0,3500.0,3400.0
chattisgarh,bilaspur,tiphra,papaya,papaya,large,2023-07-28,2000.0,2200.0,2100.0
chattisgarh,bilaspur,tiphra,pomegranate,pomogranate,large,2023-07-28,17000.0,17200.0,17100.0
chattisgarh,bilaspur,tiphra,potato,other,faq,2023-07-28,1400.0,1600.0,1500.0
chattisgarh,bilaspur,tiphra,pumpkin,pumpkin,faq,2023-07-28,900.0,1100.0,1000.0
chattisgarh,bilaspur,tiphra,raddish,raddish,faq,2023-07-28,1500.0,1700.0,1600.0
chattisgarh,bilaspur,tiphra,spinach,other,faq,2023-07-28,2500.0,2800.0,2600.0
chattisgarh,dhamtari,belarbahara,paddy(dhan)(common),i.r. 36,faq,2023-07-28,1500.0,1500.0,1500.0
chattisgarh,dhamtari,boraee,maize,medium,faq,2023-07-28,2000.0,2000.0,2000.0
chattisgarh,dhamtari,boraee,paddy(dhan)(common),i.r. 36,faq,2023-07-28,1500.0,1550.0,1500.0
chattisgarh,dhamtari,gattasilli,paddy(dhan)(common),i.r. 36,faq,2023-07-28,1550.0,1550.0,1550.0
chattisgarh,dhamtari,nagari,paddy(dhan)(common),i.r. 36,faq,2023-07-28,1800.0,1800.0,1800.0
chattisgarh,kabirdham,kawardha,soyabean,yellow,faq,2023-07-28,4491.0,4511.0,4497.0
chattisgarh,kabirdham,kawardha,wheat,deshi,faq,2023-07-28,2200.0,2200.0,2200.0
chattisgarh,kanker,bhanupratappur,maize,hybrid/local,faq,2023-07-28,1500.0,1600.0,1550.0
chattisgarh,kanker,charama,paddy(dhan)(common),other,faq,2023-07-28,1900.0,2100.0,2000.0
chattisgarh,kanker,korar,maize,hybrid/local,faq,2023-07-28,1500.0,1600.0,1550.0
chattisgarh,kanker,lakhanpuri,paddy(dhan)(common),other,faq,2023-07-28,1900.0,2100.0,2000.0
chattisgarh,kanker,narharpur,paddy(dhan)(common),other,faq,2023-07-28,1900.0,2100.0,2000.0
chattisgarh,kanker,sambalpur,mahua seed(hippe seed),other,faq,2023-07-28,2500.0,2500.0,2500.0
chattisgarh,kanker,sambalpur,paddy(dhan)(common),paddy coarse,faq,2023-07-28,1500.0,1500.0,1500.0
chattisgarh,koria,baikunthpur,mahua,other,faq,2023-07-28,3100.0,3100.0,3100.0
chattisgarh,koria,baikunthpur,maize,other,faq,2023-07-28,1965.0,1965.0,1965.0
chattisgarh,koria,baikunthpur,wheat,other,faq,2023-07-28,2130.0,2130.0,2130.0
chattisgarh,mungeli,lormi,paddy(dhan)(common),paddy fine,faq,2023-07-28,1800.0,1850.0,1820.0
chattisgarh,mungeli,sargaon,paddy(dhan)(common),common,faq,2023-07-28,1700.0,1875.0,1770.0
chattisgarh,raigarh,raigarh,onion,other,faq,2023-07-28,1500.0,2200.0,1800.0
chattisgarh,raigarh,raigarh,potato,other,faq,2023-07-28,1300.0,2000.0,1600.0
